player_type,main_genre,recommendations,windows,mac,linux
Multi_player,Action,1731.0,True,False,False
Multi_player,Action,1993.0,True,False,False
Multi_player,Action,1920.0,True,False,False
Multi_player,Action,760.0,True,False,False
Single_player,Action,680.0,True,False,False
Single_player,Action,3307.0,True,False,False
Single_player,Action,428.0,True,False,False
Multi_player,Action,420.0,True,False,False
Single_player,Action,962.0,True,False,False
Single_player,Action,1693.0,True,False,False
Single_player,Action,740.0,True,False,False
Single_player,Action,854.0,True,False,False
Multi_player,Action,0.0,True,False,False
,Action,0.0,True,False,False
Multi_player,Action,146.0,True,False,False
Single_player,Action,297.0,True,False,False
Single_player,Action,6183.0,True,False,False
Multi_player,Action,2581.0,True,False,False
Single_player,Action,1839.0,True,False,False
Single_player,Simulation,0.0,True,False,False
Single_player,Strategy,1303.0,True,False,False
Single_player,Action,674.0,True,False,False
Multi_player,Simulation,349.0,True,False,False
Multi_player,Simulation,755.0,True,False,False
Multi_player,Simulation,0.0,True,False,False
Single_player,Action,286.0,True,False,False
Single_player,Action,535.0,True,False,False
Multi_player,Simulation,1164.0,True,False,False
Single_player,Strategy,752.0,True,False,False
Single_player,Strategy,0.0,True,False,False
Single_player,Action,854.0,True,False,False
Single_player,Strategy,0.0,True,True,True
Single_player,Casual,431.0,True,False,False
Single_player,Action,560.0,True,False,False
Single_player,Action,418.0,True,False,False
Single_player,Action,480.0,True,True,True
Multi_player,Strategy,3126.0,True,True,True
Single_player,Adventure,1377.0,True,False,False
Single_player,Adventure,764.0,True,False,False
Single_player,Action,547.0,True,False,False
Single_player,Action,793.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,True,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Multi_player,Action,1669.0,True,False,False
Single_player,Casual,0.0,True,False,False
Multi_player,Racing,194.0,True,False,False
Single_player,Racing,0.0,True,True,False
Single_player,Action,322.0,True,False,False
Single_player,Action,1627.0,True,True,False
Single_player,Action,1635.0,True,False,False
Multi_player,Strategy,321.0,True,True,False
Multi_player,Action,589.0,True,False,False
Multi_player,Action,0.0,True,False,False
Single_player,Strategy,196.0,True,False,False
